node_idx,hit_id,particle_id,volume_id,layer_id,module_id,nhits
0,2,22525763437723648,7,2,1,10.0
0,1420,22525763437723648,7,2,106,10.0
1,4,297237712845406208,7,2,1,11.0
2,5,418835796137607168,7,2,1,10.0
2,38,418835796137607168,7,2,4,10.0
3,6,108087696726949888,7,2,1,11.0
4,8,954766419537428480,7,2,1,10.0
4,48,954766419537428480,7,2,4,10.0
5,9,707072769359085568,7,2,1,11.0
6,10,67554956483231744,7,2,1,14.0
7,13,63061596057894912,7,2,1,13.0
7,1426,63061596057894912,7,2,106,13.0
8,14,707068508751527936,7,2,1,11.0
9,15,63064276117487616,7,2,1,13.0
9,1427,63064276117487616,7,2,106,13.0
10,16,67554612885848064,7,2,1,13.0
11,17,824159968759382016,7,2,1,11.0
12,18,103584646855393280,7,2,1,15.0
13,21,616995416692490240,7,2,1,13.0
13,45,616995416692490240,7,2,4,13.0
14,24,819655956815151104,7,2,2,14.0
15,25,418837307966095360,7,2,2,12.0
16,26,761110055012532224,7,2,2,12.0
17,27,801644925560029184,7,2,2,11.0
18,28,211690073207341056,7,2,2,15.0
19,29,139619285029879808,7,2,3,12.0
19,54,139619285029879808,7,2,5,12.0
20,30,225187609230442496,7,2,3,11.0
21,32,873702863195340800,7,2,3,12.0
22,33,873724303672082432,7,2,3,10.0
23,34,445865090483224576,7,2,3,12.0
23,50,445865090483224576,7,2,5,12.0
24,35,657538052540858368,7,2,4,11.0
25,36,801651522629795840,7,2,4,12.0
26,39,139619216310403072,7,2,4,14.0
27,42,873704581182259200,7,2,4,14.0
28,43,108087696726949888,7,2,4,11.0
29,44,238694559821856768,7,2,4,14.0
30,46,860196324920786944,7,2,4,13.0
31,47,157629835248664576,7,2,4,13.0
32,51,103589732096671744,7,2,5,10.0
33,53,927744615614775296,7,2,5,13.0
34,89,225183829659222016,7,2,8,14.0
34,124,225183829659222016,7,2,10,14.0
35,56,616995347973013504,7,2,5,13.0
36,59,63068055688708096,7,2,5,11.0
37,60,932245878779936768,7,2,6,14.0
38,62,396317454403371008,7,2,6,14.0
39,107,878209761357594624,7,2,9,12.0
40,63,67555162641661952,7,2,6,15.0
41,64,63068124408184832,7,2,6,14.0
42,65,27031974405210112,7,2,6,14.0
42,41,27031974405210112,7,2,4,14.0
43,66,184651982768701440,7,2,6,15.0
44,67,707069195946295296,7,2,6,13.0
44,115,707069195946295296,7,2,9,13.0
45,68,18017078569074688,7,2,6,13.0
46,69,810658172128722944,7,2,6,17.0
46,40,810658172128722944,7,2,4,17.0
47,71,801649667203923968,7,2,6,14.0
48,72,153138742566060032,7,2,6,13.0
49,73,63059946790453248,7,2,6,12.0
50,74,63055754902372352,7,2,6,11.0
51,75,220681604421386240,7,2,6,17.0
51,118,220681604421386240,7,2,9,17.0
52,76,495397814436626432,7,2,6,13.0
53,77,526921637438685184,7,2,7,11.0
54,79,495403861750579200,7,2,7,11.0
54,57,495403861750579200,7,2,5,11.0
55,80,229685436421767168,7,2,7,14.0
56,82,671041292280528896,7,2,7,11.0
56,52,671041292280528896,7,2,5,11.0
57,83,94579303026524160,7,2,7,13.0
58,84,112599336533098496,7,2,7,10.0
59,85,734096841024471040,7,2,7,13.0
60,86,855686265662603264,7,2,7,12.0
61,138,657543481379520512,7,2,11,12.0
62,87,549440803806642176,7,2,7,10.0
62,58,549440803806642176,7,2,5,10.0
63,88,734105568398016512,7,2,7,12.0
63,101,734105568398016512,7,2,8,12.0
64,90,860191583276892160,7,2,8,16.0
65,93,801645062998982656,7,2,8,13.0
66,95,707069333385248768,7,2,8,13.0
66,126,707069333385248768,7,2,10,13.0
67,97,909728499118374912,7,2,8,15.0
67,78,909728499118374912,7,2,7,15.0
68,98,396317316964417536,7,2,8,11.0
69,99,157627911103315968,7,2,8,16.0
