truth distance cut
0 0.11721754323590082 10.0
1 0.09709822924670419 10.0
1 6.840822739136423 10.0
0 31.049225387746457 10.0
1 0.13916955173638534 10.0
0 22.628823127914846 10.0
0 0.20224183452130745 10.0
0 3.234411664206848e-08 10.0
1 13.601484361970783 10.0
1 0.007513838698873267 10.0
1 4.088635920518865 10.0
1 2.0920291393667574 10.0
1 0.7701066700265006 10.0
1 0.004588056787867782 10.0
1 0.0380622189353533 10.0
1 0.9550138286085669 10.0
1 0.0001170082513875733 10.0
1 0.043782661733386526 10.0
0 11.54875461899384 10.0
0 0.6714025014866349 10.0
1 0.2221284434495717 10.0
1 0.2047486628364748 10.0
0 13.947505394059377 10.0
1 0.12645164381966228 10.0
1 0.8678773372877323 10.0
0 2.522421753145978 10.0
1 0.004425492384405998 10.0
1 0.0015382569120212704 10.0
1 0.011091490664512524 10.0
0 0.027441197443879243 10.0
1 0.027441197443879004 10.0
0 0.003256612956524798 10.0
1 0.018609216894426347 10.0
1 17.532734243769735 10.0
0 0.005324236984130283 10.0
0 6.395178987030674 10.0
1 0.8268385161558703 10.0
1 0.5567126717208641 10.0
1 30.326714490368335 10.0
1 1.611072286769021e-05 10.0
1 0.34463261938239653 10.0
1 0.4607308657235226 10.0
1 0.050892180874924926 10.0
1 0.7038385453442203 10.0
1 0.08254067427505786 10.0
0 0.11721754323590082 5.0
1 0.09709822924670419 5.0
1 6.840822739136423 5.0
0 31.049225387746457 5.0
1 0.13916955173638534 5.0
0 0.20224183452130745 5.0
0 3.234411664206848e-08 5.0
1 13.601484361970783 5.0
1 0.007513838698873267 5.0
1 4.088635920518865 5.0
0 0.16301535091999853 5.0
1 0.004432841902653517 5.0
0 0.003256612956524798 5.0
1 2.242006895050614 5.0
1 0.018609216894426347 5.0
1 17.532734243769735 5.0
0 0.005324236984130283 5.0
0 6.395178987030674 5.0
1 0.8268385161558703 5.0
1 0.5567126717208641 5.0
1 30.326714490368335 5.0
1 1.611072286769021e-05 5.0
1 0.34463261938239653 5.0
1 0.4607308657235226 5.0
1 0.050892180874924926 5.0
1 0.7038385453442203 5.0
1 0.08254067427505786 5.0
0 0.11721754323590082 2.0
1 0.13916955173638534 2.0
0 0.20224183452130745 2.0
0 3.234411664206848e-08 2.0
1 0.007513838698873267 2.0
1 4.088635920518865 2.0
1 0.074952152942293 2.0
0 0.16301535091999853 2.0
1 0.004432841902653517 2.0
0 0.003256612956524798 2.0
1 0.018609216894426347 2.0
1 0.5567126717208641 2.0
1 0.2046861537570409 2.0
1 0.42582061457978726 2.0
1 0.010949510390578862 2.0
1 0.050892180874924926 2.0
1 0.7038385453442203 2.0
1 0.08254067427505786 2.0
1 0.7517510628180853 10.0
1 1.1560272474835336 10.0
1 0.759357898093137 10.0
0 25.40790249424709 10.0
1 0.004935310175185973 10.0
1 0.02820177242963308 10.0
1 3.7519354965936786 10.0
1 0.017326799472634987 10.0
1 0.017326799472634633 10.0
1 0.019748260506245764 10.0
1 0.03965418271073774 10.0
1 0.223834679723693 10.0
1 0.5515889547368177 10.0
1 0.10604208870446093 10.0
0 0.15531717072686022 10.0
1 0.5864820991114028 10.0
0 0.3463640091962401 10.0
1 0.4726988780036829 10.0
1 5.577583868361931 10.0
0 0.01725177584674942 10.0
0 3.9790922748655104 10.0
1 7.6168256911010745 10.0
1 12.554247649072984 10.0
0 0.03177346815228032 10.0
1 0.09780073477444448 10.0
1 0.023294625614549563 10.0
1 0.28108811316439064 10.0
1 0.0035234598316694673 10.0
0 0.07743997102887352 10.0
0 14.351767489947346 10.0
0 0.11284503191868067 10.0
1 0.1934234494420699 10.0
0 0.042166856795414945 10.0
0 13.005762712792228 10.0
0 0.007379199939197359 10.0
1 23.18521347053022 10.0
0 0.1793330976303544 10.0
0 7.931114587992626 10.0
1 0.3033088967234261 10.0
0 0.3027315084167521 10.0
1 0.15593740638568399 10.0
1 0.005755307645245236 10.0
0 0.07104490915666577 10.0
0 0.598600927423074 10.0
1 8.169470769349372 10.0
1 0.005906697181858237 10.0
1 0.2679266664575194 10.0
1 0.054613499434584524 10.0
1 0.09706593172132201 10.0
1 0.24659593624427464 10.0
1 0.10387828302737045 10.0
0 0.15531717072686022 5.0
1 0.5864820991114028 5.0
0 0.3463640091962401 5.0
1 0.4726988780036829 5.0
1 5.577583868361931 5.0
0 1.4075806919635663 5.0
0 0.01725177584674942 5.0
0 3.9790922748655104 5.0
1 7.6168256911010745 5.0
1 12.554247649072984 5.0
0 0.03177346815228032 5.0
1 0.09780073477444448 5.0
1 0.023294625614549563 5.0
1 0.28108811316439064 5.0
1 0.0035234598316694673 5.0
0 0.07743997102887352 5.0
0 14.351767489947346 5.0
0 0.11284503191868067 5.0
1 0.1934234494420699 5.0
0 0.042166856795414945 5.0
0 13.005762712792228 5.0
0 0.007379199939197359 5.0
1 23.18521347053022 5.0
0 0.22738513898388207 5.0
0 7.168847369159072 5.0
1 0.5325883559228988 5.0
0 0.3027315084167521 5.0
1 0.15593740638568399 5.0
1 0.005755307645245236 5.0
0 0.07104490915666577 5.0
0 0.598600927423074 5.0
1 8.169470769349372 5.0
1 0.005906697181858237 5.0
1 0.2679266664575194 5.0
1 0.054613499434584524 5.0
1 0.09706593172132201 5.0
1 0.24659593624427464 5.0
1 0.10387828302737045 5.0
