node_idx,hit_id
0,131
0,170
1,77468
2,77472
3,77473
4,77474
5,77475
6,77479
7,77480
8,77482
9,77483
10,77486
10,77493
11,77491
12,77502
13,77506
14,77507
15,77510
16,77518
17,77531
18,77536
19,77541
20,77542
21,77546
22,77547
23,77548
24,77549
25,77550
26,77553
27,77558
28,77561
29,77570
30,77583
31,77586
32,77589
33,77594
34,77602
35,77607
36,77611
37,77618
38,77626
39,77634
40,77636
41,77641
42,77647
43,77650
44,77663
45,77664
46,77667
47,77672
48,77674
49,77677
50,77680
51,77690
52,77691
53,77694
54,77701
55,77705
56,77708
57,77711
58,77713
59,77719
60,77720
61,77723
62,77724
63,77728
64,77737
65,77753
66,77757
67,77764
68,77765
69,77767
70,77770
71,77771
72,77772
73,77773
74,77776
75,77780
76,77782
77,77786
78,77790
79,77792
80,77794
81,77796
82,77816
83,77817
84,77824
85,77825
86,77827
87,77830
88,77833
89,77847
90,77850
91,77851
92,77852
93,77853
94,77860
95,77863
96,77866
97,77869
98,77874
99,77878
100,77881
101,77882
102,77886
103,77888
104,77891
105,77892
106,77895
107,77901
108,77902
109,77903
110,77905
111,77906
112,77908
113,77912
114,77915
115,77918
116,78364
117,78367
118,78368
119,77931
120,77936
121,77938
122,77940
123,77942
124,77945
125,77951
126,77953
127,77955
128,77957
129,77961
130,77965
131,77973
132,77975
133,77976
134,77977
135,77979
136,77987
137,77988
138,77993
139,77996
140,77997
141,78003
142,78328
143,78016
144,78017
145,78020
146,78024
147,78027
148,78031
149,78039
150,78040
151,78041
152,78043
153,78052
154,78053
155,78054
156,78062
157,5340
157,5374
158,5344
158,5370
159,5354
159,5242
159,5302
160,5359
160,5427
160,5403
161,5362
161,5437
161,5405
162,5369
162,5385
163,5372
164,5378
164,5410
165,5390
165,5352
166,5398
166,5445
167,1189
168,1190
169,1200
169,1168
170,52567
171,929
172,932
172,892
173,934
174,937
175,56403
175,56408
176,56405
177,5240
178,4900
178,4818
179,4901
179,4791
180,8117
180,8058
181,8119
182,8121
183,8122
183,8172
184,7301
184,7344
185,7305
186,7315
186,7358
187,7324
188,7328
189,7330
189,7413
190,7331
190,7327
191,7341
192,7348
192,7313
193,901
193,878
194,913
195,915
195,875
196,52615
197,830
198,2003
199,1593
199,1623
200,1594
201,1596
201,1569
202,25098
203,25101
204,25105
205,25114
206,25119
207,25120
208,25138
209,25144
210,25153
211,25173
212,25175
213,25188
214,25192
215,25193
216,25207
217,25210
218,25214
219,25217
220,25223
221,25232
222,25244
223,25245
224,25249
225,25258
226,25265
227,3264
227,3299
228,3274
229,3279
229,3285
230,3282
231,3291
231,3245
232,3295
232,3259
233,26669
233,26672
234,26670
235,26673
235,26666
236,26674
236,26428
236,26438
237,26675
238,26676
239,6830
239,6933
240,6847
240,6943
241,7292
241,7421
241,7384
242,992
243,1004
244,9028
245,4065
246,4066
246,4037
247,4078
248,4083
249,4088
249,4130
250,4096
250,4063
251,4100
252,46399
253,46406
254,46409
255,46410
256,46419
256,46401
257,46424
258,46425
258,46462
259,46427
259,46408
260,46429
261,46431
262,46441
262,46458
263,46445
263,46413
264,46446
265,46451
265,46448
266,46461
267,46464
268,46469
268,46449
269,46473
270,46483
270,46471
271,46489
272,46494
273,46501
274,46506
274,46479
275,46510
276,46512
276,46478
277,46515
278,46525
278,46497
279,46530
279,46502
280,46531
281,46532
281,46503
282,46534
282,46556
283,46538
284,46542
285,46552
285,46574
286,46554
286,46583
287,46558
288,46576
289,46581
289,46612
290,46591
291,46614
291,46645
292,46625
292,46587
292,46544
293,46628
294,46631
295,46641
295,46680
296,46643
297,46647
298,46649
299,46652
299,46681
300,46654
300,46620
301,46656
301,46669
302,46665
302,46696
303,46668
304,46674
304,46717
305,46678
305,46735
306,46683
307,46685
308,46686
309,46700
309,46695
310,46703
311,46704
311,46740
312,41423
312,41459
313,41430
313,41437
314,41433
315,41442
315,41386
316,41451
316,41489
317,41455
318,41456
318,41555
318,41496
319,41457
319,41490
320,41460
320,41491
320,41397
321,41466
321,41436
322,41482
322,41589
322,41526
323,41492
324,41499
325,41548
325,41609
325,41487
326,41564
327,41567
328,41583
328,41648
329,41587
330,41594
330,41558
331,41596
331,41542
332,41624
333,41637
333,41709
333,41760
334,41651
335,41671
336,41684
337,41692
338,77044
339,570
340,50391
341,2036
342,2041
343,2050
343,2044
344,2051
345,2062
345,2093
346,48401
347,48402
348,48403
349,6589
349,6643
349,6700
350,6610
350,6558
351,6612
352,6619
352,6669
353,6635
354,6639
354,6717
355,32431
356,32432
357,32434
358,32439
358,32441
359,32444
360,32446
361,32448
362,32451
363,32453
364,32454
365,32455
365,32449
366,32456
367,32459
368,32467
369,32468
369,32851
370,32472
371,32482
372,32486
373,32507
374,32508
375,32511
376,32516
377,32523
378,32525
378,32518
379,32528
380,32530
381,32532
381,32529
382,32533
382,32531
383,32538
384,32540
385,32543
386,32544
387,32547
388,32549
389,32557
390,32558
390,32550
391,32559
392,32561
393,32563
394,32566
395,32568
396,32571
397,32592
398,32593
399,32597
400,32605
400,32611
401,32609
402,32618
403,32637
404,32640
405,32641
405,32303
406,32653
406,32651
407,32658
408,32666
409,32671
409,33093
410,24898
411,24904
412,24907
412,24890
413,24915
414,24931
415,24936
416,24952
417,24956
418,24958
419,24965
420,24966
421,24968
422,24978
423,24981
424,24985
425,24988
425,25005
426,24989
427,24993
428,24997
429,25003
429,24986
430,25006
431,25017
432,25022
433,25032
434,25037
435,25039
436,25053
437,25054
438,25064
439,25065
440,25066
441,25072
441,25085
441,25470
442,25074
443,4155
444,4159
444,4202
445,4160
445,4133
445,4201
446,4174
446,4208
447,4180
448,4181
448,4146
449,4182
449,4148
450,4185
451,4189
452,4191
453,4194
453,4279
454,529
455,534
455,527
456,10018
457,10022
457,10091
457,10062
458,10023
459,10026
459,9993
460,10028
461,10037
462,10042
463,10047
463,10143
463,10088
464,10054
464,10113
465,10063
466,10064
467,10067
467,10077
468,10069
468,10086
469,10073
470,10074
471,10087
472,10099
473,49418
474,37660
475,37676
476,37677
476,37697
477,37678
478,37679
479,37682
480,37685
480,37686
481,37688
482,37690
483,37692
483,37681
484,37695
484,37674
485,37709
486,37716
486,37779
487,37740
488,37745
489,37747
489,37696
490,37750
491,37751
492,37757
493,37759
493,37749
494,37761
494,37807
495,37763
495,37754
496,37776
497,37806
498,37808
499,37810
499,37819
500,37813
501,37817
501,37803
502,37821
503,37822
503,37811
504,37852
505,37854
506,37856
507,37857
508,37858
508,37814
509,37859
510,37860
511,37863
512,37864
513,37880
513,37831
514,37883
514,37930
515,37886
515,37935
516,37902
517,37903
517,37862
518,37904
519,37905
520,37906
521,37907
522,37908
523,37909
524,37912
524,38011
525,37916
526,53756
527,7895
528,7902
529,7904
530,7906
530,7963
531,7907
532,7909
533,7911
534,7914
535,7925
536,7935
536,8007
536,7858
537,7946
537,8014
537,8070
538,7977
538,7945
539,7980
539,8048
540,50447
541,302
542,51441
543,51442
544,27001
545,27002
546,27005
547,27008
548,27016
549,27022
550,27025
551,27027
551,27026
552,27030
553,27032
554,27036
555,27038
556,27039
556,27041
557,27045
558,27047
559,27048
560,27049
561,27050
561,27055
562,27054
563,27060
564,27065
565,27066
566,27067
567,27068
567,27364
568,27069
569,27072
570,27077
571,27078
572,27079
573,27087
574,27088
575,27089
575,26847
576,27090
577,27091
578,27092
579,27093
580,27097
580,27083
581,27098
582,27101
583,27102
584,27103
584,27099
585,27104
586,27107
587,27108
588,27109
589,27110
590,27111
591,27112
592,27113
593,27114
593,26861
594,27115
595,27116
596,27120
597,27122
598,27123
599,27124
600,27128
601,27129
602,27133
603,27138
604,27139
605,27143
606,27144
607,27148
608,27150
609,27152
610,27153
611,27155
611,27156
612,27158
613,27159
614,27160
615,27161
616,27165
617,27166
618,27170
619,27172
620,27173
621,27175
622,27179
623,27181
624,27183
625,27185
626,27186
627,27188
628,27189
629,27191
630,51535
631,51536
632,7362
632,7515
632,7441
633,8151
634,7394
634,7495
634,7448
635,7406
636,7407
637,7410
638,2608
638,2624
639,2613
640,2614
641,2628
641,2669
642,2629
643,2639
643,2670
644,49301
645,21627
646,21634
647,21639
648,21640
649,21641
650,21644
651,21647
652,21652
653,21653
654,21654
655,21655
656,21656
657,21659
658,21666
659,21669
660,21671
661,21674
662,21678
662,21681
663,21679
664,21683
665,21687
666,21700
667,21701
668,21702
669,21703
670,21704
671,21705
672,21717
673,21718
674,21719
675,21721
676,21723
677,21728
677,21737
678,21730
679,21731
680,21733
681,21735
682,21739
683,21743
684,21747
685,21750
686,21755
687,21757
688,21758
688,21762
689,21759
690,21761
690,21410
691,21767
692,30007
693,30008
694,30009
695,30013
696,30014
697,30019
698,30020
699,30023
700,30026
701,30029
701,30035
702,30030
703,30031
704,30033
705,30034
706,30036
707,30040
708,30041
708,30055
709,30042
710,30043
710,30049
710,30380
711,30044
712,30045
713,30047
714,30048
715,30053
715,30058
716,30057
717,30059
718,30061
719,30063
720,30067
721,30075
721,30400
722,30083
723,30087
724,30091
725,30092
725,30088
726,30093
726,30099
727,30094
727,30085
728,30095
728,30100
729,30096
730,30098
731,30101
732,30102
733,30103
734,30108
735,30109
736,30110
736,29722
737,30117
738,30122
739,30128
740,30131
741,30132
741,30141
742,30135
743,30137
744,30138
745,30144
746,30147
747,30150
748,30152
749,30153
750,30156
751,30157
752,30158
753,30161
754,30162
755,30163
756,30164
757,30165
758,30166
759,30167
760,30168
761,30172
762,30173
762,30170
763,30178
763,30183
764,30179
765,30189
766,30200
766,30208
767,30201
768,30202
768,30192
769,9949
769,9940
770,9980
771,9984
772,1269
772,1312
773,1270
774,9484
774,9473
775,9489
776,9525
776,9390
776,9425
777,9541
778,9542
779,9545
779,9597
780,9551
781,10178
781,10131
782,38712
783,2097
784,2106
785,2113
786,2114
787,2120
788,8877
789,8883
789,8923
789,8821
790,8896
790,8835
791,8905
792,8930
792,6570
792,6597
793,8943
794,34988
795,34994
795,34991
796,34998
796,35006
797,35002
798,35007
798,35012
799,35008
800,35009
801,35010
802,35013
803,35021
804,35029
805,35030
806,35031
806,35036
807,35037
808,35038
808,35044
809,35039
810,35048
811,35054
812,35057
813,35058
813,35067
814,35063
815,35066
816,35068
817,35072
817,35071
818,35086
819,35088
819,35094
820,35089
821,35092
822,35095
822,35099
823,35100
824,35137
824,35387
825,35140
826,35142
827,35143
828,35149
829,35165
830,35166
831,35167
832,35187
833,35188
834,35190
834,35193
835,35191
836,35201
837,35208
838,35212
839,35213
840,35215
841,35216
842,35217
842,35219
843,35218
843,35455
844,35221
845,35222
846,35225
847,35232
847,35234
848,35241
849,35245
850,35247
851,35249
851,35251
852,35252
853,647
853,666
854,652
855,1868
855,1799
855,1839
856,1874
857,1876
858,1879
858,1881
859,1882
859,1896
860,46036
861,4300
862,4307
862,4273
863,4314
864,4316
864,4280
865,6139
865,6163
865,6095
866,6150
867,6151
868,6153
869,6155
869,6203
870,6156
870,6209
871,6161
871,6145
872,10566
873,10582
874,10584
875,10585
875,10532
876,10588
876,10596
877,10591
878,10598
879,10614
880,10615
880,10563
881,10628
881,10716
881,10781
882,10637
883,10646
884,10647
885,2720
885,2752
886,2748
887,2883
888,12421
888,12431
889,12422
889,12456
890,12425
891,12426
892,12451
892,12376
893,12457
893,12381
894,12459
895,12461
896,12462
897,12463
898,12464
899,12467
900,12468
901,12470
902,12473
903,12475
904,12478
905,12481
905,12564
906,12500
907,12507
908,12508
909,60422
909,60420
910,60428
911,60431
912,60432
913,46124
913,46139
914,4015
914,4086
915,3399
916,3400
917,3401
918,3409
918,3348
919,7
919,34
920,660
921,2158
921,2109
922,2166
923,2169
923,2171
924,2176
925,2177
926,2179
927,2183
928,2185
929,2186
930,2187
930,2234
931,2188
932,11047
933,11055
933,11118
933,10962
934,11057
934,11009
935,11062
936,11066
937,11069
937,11126
938,11105
938,11034
939,11123
939,11136
940,11128
941,44214
942,5773
942,5770
943,5790
943,5845
944,5797
944,5730
945,5799
945,5745
946,5816
947,5825
947,5817
948,10935
949,10945
949,10888
950,10947
951,10948
952,10950
952,10930
953,10957
954,10969
954,10919
955,10970
955,11043
956,10976
956,11045
957,11002
957,10993
958,11005
958,11060
959,11015
959,11114
960,11027
961,11028
961,10989
962,1440
962,1406
963,1443
964,2070
964,2020
965,2082
965,2024
966,2084
966,2116
967,2088
968,56786
969,56787
970,56788
971,56789
972,56790
972,56803
973,1536
974,26416
975,26418
976,26420
977,26422
978,26426
979,26427
980,26429
980,26423
981,26431
982,26432
983,26433
984,26435
984,26444
985,26437
986,26439
987,26440
988,26442
989,26443
990,26445
990,26450
991,26446
992,26449
993,26451
994,26452
995,26453
996,26454
996,26458
997,26455
998,26457
999,26460
1000,26462
1001,26465
1002,26468
1003,26472
1004,26473
1005,26474
1006,26476
1007,26477
1008,26478
1009,26479
1010,26483
1011,26488
1012,26489
1013,26491
1014,26492
1015,26497
1016,26511
1017,26512
1018,26513
1019,26518
1019,26516
1020,26524
1021,26527
1022,26539
1022,26537
1023,26543
1024,26544
1025,26548
1026,26550
1027,26551
1027,26557
1028,26552
1029,26554
1030,26555
1030,26559
1031,26558
1032,26562
1033,26563
1034,26569
1035,26571
1035,26579
1036,26578
1037,26581
1038,26582
1039,26584
1040,26587
1041,26590
1042,26592
1043,26596
1044,26597
1045,26598
1046,26600
1047,26601
1047,26611
1048,26602
1049,26604
1050,26606
1051,26607
1052,26608
1052,26614
1053,26609
1054,26610
1055,26615
1056,752
1056,781
1057,757
1058,758
1059,767
1059,793
1060,13214
1061,13215
1062,13216
1063,13236
1064,13246
1064,13188
1065,13276
1066,13279
1066,13212
1067,13281
1068,13282
1069,13283
1070,13284
1071,13285
1072,13286
1072,13294
1073,13287
1074,13288
1075,13290
1076,13291
1077,13293
1078,13295
1079,13304
1080,23711
1080,23722
1081,23714
1082,23751
1083,23755
1084,23762
1085,23765
1086,23777
1087,23781
1088,23782
1089,23784
1090,23792
1091,23794
1092,23799
1093,23802
1094,23805
1095,23822
1096,23834
1097,23837
1098,23839
1099,23842
1100,23847
1100,24554
1101,23851
