31854 49315
node2,node1,weight
1,28965,1.0
2,28988,1.0
3,28985,1.0
5,29019,1.0
6,29028,1.0
7,29080,1.0
7,28739,1.0
7,28738,1.0
8,17870,1.0
9,17868,1.0
10,17878,1.0
12,17912,1.0
14,17941,1.0
15,28337,1.0
16,28337,1.0
16,28336,1.0
17,28335,1.0
17,28336,1.0
20,28359,1.0
22,28442,1.0
22,28419,1.0
23,28461,1.0
25,28458,1.0
26,28555,1.0
28,28583,1.0
28,28601,1.0
31,28658,1.0
32,28662,1.0
33,28663,1.0
35,28659,1.0
35,28661,1.0
36,28680,1.0
37,28681,1.0
38,28683,1.0
39,28700,1.0
42,28728,1.0
43,28775,1.0
44,28773,1.0
45,28815,1.0
46,28815,1.0
47,28833,1.0
47,28846,1.0
49,28939,1.0
50,28930,1.0
51,28986,1.0
52,28989,1.0
53,29030,1.0
54,29024,1.0
60,17872,1.0
60,17871,1.0
61,17874,1.0
62,17872,1.0
62,17871,1.0
65,17909,1.0
66,17908,1.0
67,17923,1.0
69,17950,1.0
69,17948,1.0
69,17949,1.0
70,17948,1.0
70,17949,1.0
70,17947,1.0
71,17943,1.0
310,5529,1.0
311,20953,1.0
312,4674,1.0
313,7000,1.0
314,7001,1.0
315,6999,1.0
316,4678,1.0
317,4675,1.0
318,112,1.0
318,111,1.0
319,31482,1.0
320,31487,1.0
321,31480,1.0
322,31485,1.0
323,31486,1.0
324,3687,1.0
325,31483,1.0
326,3690,1.0
327,1203,1.0
328,15389,1.0
329,3292,1.0
330,31456,1.0
331,19151,1.0
331,19161,1.0
331,13882,1.0
331,13869,1.0
332,19240,1.0
332,19231,1.0
332,3429,1.0
332,3425,1.0
333,19230,1.0
333,19232,1.0
333,19241,1.0
334,19229,1.0
334,3421,1.0
335,19239,1.0
336,19238,1.0
336,3427,1.0
337,1405,1.0
338,26727,1.0
338,29264,1.0
339,1352,1.0
339,3189,1.0
340,29251,1.0
342,29282,1.0
343,1672,1.0
344,5520,1.0
345,6535,1.0
345,6533,1.0
346,4463,1.0
346,4461,1.0
347,25452,1.0
347,11402,1.0
348,5718,1.0
349,5715,1.0
349,5717,1.0
349,5713,1.0
349,21332,1.0
350,25747,1.0
351,17501,1.0
352,3219,1.0
352,3210,1.0
353,3220,1.0
354,3221,1.0
355,15879,1.0
355,15876,1.0
355,15875,1.0
356,15878,1.0
356,15875,1.0
357,23626,1.0
358,23627,1.0
359,23626,1.0
360,15883,1.0
361,31260,1.0
362,15888,1.0
362,15882,1.0
363,31262,1.0
364,31274,1.0
364,31281,1.0
364,1861,1.0
365,31279,1.0
366,31258,1.0
366,31271,1.0
367,31282,1.0
368,31275,1.0
368,31263,1.0
368,31278,1.0
368,1860,1.0
369,5535,1.0
370,5535,1.0
370,5532,1.0
370,5534,1.0
371,12501,1.0
371,13922,1.0
371,1910,1.0
372,5544,1.0
373,5559,1.0
373,5555,1.0
373,5558,1.0
373,1916,1.0
374,5559,1.0
374,5554,1.0
374,5552,1.0
374,5558,1.0
375,13935,1.0
376,31545,1.0
377,13925,1.0
377,31544,1.0
378,31544,1.0
378,16727,1.0
379,13934,1.0
380,31544,1.0
381,1272,1.0
381,1270,1.0
381,1267,1.0
381,1870,1.0
382,1270,1.0
383,13933,1.0
384,1278,1.0
384,1214,1.0
384,1275,1.0
384,1215,1.0
384,1871,1.0
384,1868,1.0
385,6400,1.0
386,6404,1.0
387,1278,1.0
388,1277,1.0
388,1278,1.0
389,1219,1.0
390,1277,1.0
390,1214,1.0
390,1213,1.0
390,1275,1.0
390,1215,1.0
390,1217,1.0
390,1216,1.0
390,1869,1.0
391,1219,1.0
392,6407,1.0
393,6402,1.0
393,1872,1.0
394,6425,1.0
395,6405,1.0
396,6423,1.0
396,6419,1.0
396,6415,1.0
397,6416,1.0
398,6418,1.0
398,6421,1.0
399,6421,1.0
400,6422,1.0
401,6404,1.0
402,6416,1.0
403,6404,1.0
404,6413,1.0
405,6413,1.0
406,6420,1.0
406,6403,1.0
406,6418,1.0
407,25771,1.0
407,25779,1.0
408,25770,1.0
408,6426,1.0
409,6427,1.0
409,6425,1.0
410,25783,1.0
411,25783,1.0
412,25778,1.0
412,25772,1.0
412,25779,1.0
413,25788,1.0
414,25791,1.0
414,10057,1.0
415,10062,1.0
416,25784,1.0
416,25792,1.0
417,10061,1.0
418,25790,1.0
419,25784,1.0
419,25791,1.0
419,10057,1.0
419,25793,1.0
420,10074,1.0
420,10068,1.0
420,10072,1.0
420,10069,1.0
420,1884,1.0
420,1888,1.0
421,10074,1.0
421,10068,1.0
421,10066,1.0
