8041 6489
node2,node1,weight
0,2083,1.0
1,2055,1.0
1,2088,1.0
4,2057,1.0
5,2062,1.0
5,2094,1.0
5,2093,1.0
6,2059,1.0
9,2060,1.0
9,2099,1.0
10,2061,1.0
11,2070,1.0
11,2069,1.0
15,2078,1.0
16,2,1.0
17,6,1.0
18,2128,1.0
18,2130,1.0
18,2129,1.0
19,3,1.0
20,5,1.0
21,2135,1.0
21,2134,1.0
21,7,1.0
22,8,1.0
23,12,1.0
25,13,1.0
26,15,1.0
27,14,1.0
29,2158,1.0
30,16,1.0
31,2164,1.0
32,19,1.0
34,21,1.0
35,2179,1.0
36,2172,1.0
36,2183,1.0
37,24,1.0
38,23,1.0
39,26,1.0
40,27,1.0
41,28,1.0
42,29,1.0
43,2206,1.0
44,30,1.0
45,31,1.0
46,2226,1.0
47,33,1.0
50,2276,1.0
52,34,1.0
53,35,1.0
54,37,1.0
55,2290,1.0
55,2293,1.0
56,2206,1.0
56,43,1.0
57,45,1.0
59,44,1.0
61,2223,1.0
62,48,1.0
63,2233,1.0
64,49,1.0
65,52,1.0
66,2257,1.0
67,2258,1.0
68,51,1.0
69,2667,1.0
69,2674,1.0
69,2274,1.0
70,2281,1.0
71,2287,1.0
72,2290,1.0
72,2293,1.0
72,55,1.0
76,2298,1.0
77,2780,1.0
77,2306,1.0
78,2307,1.0
79,2340,1.0
79,2341,1.0
80,2353,1.0
80,2352,1.0
80,2368,1.0
81,2338,1.0
82,56,1.0
83,58,1.0
84,57,1.0
85,57,1.0
86,2354,1.0
87,59,1.0
88,60,1.0
89,2374,1.0
90,2447,1.0
90,2439,1.0
91,2401,1.0
92,2401,1.0
92,2490,1.0
93,64,1.0
94,2505,1.0
96,75,1.0
97,2518,1.0
99,74,1.0
102,2581,1.0
105,2667,1.0
105,2674,1.0
105,69,1.0
106,2708,1.0
108,2720,1.0
109,73,1.0
110,72,1.0
114,2779,1.0
115,2816,1.0
116,2868,1.0
117,2869,1.0
118,79,1.0
118,2817,1.0
119,2818,1.0
119,2819,1.0
120,2871,1.0
121,2824,1.0
122,81,1.0
123,2871,1.0
124,2871,1.0
125,81,1.0
126,81,1.0
127,82,1.0
129,83,1.0
130,80,1.0
132,2873,1.0
134,2820,1.0
135,2874,1.0
137,2822,1.0
137,2875,1.0
139,2823,1.0
141,89,1.0
141,2827,1.0
143,90,1.0
144,2933,1.0
145,2877,1.0
147,2830,1.0
148,2931,1.0
149,2890,1.0
151,2879,1.0
151,2880,1.0
154,2843,1.0
155,2880,1.0
156,2831,1.0
157,2833,1.0
158,2881,1.0
159,2881,1.0
161,2856,1.0
161,2848,1.0
164,2832,1.0
165,91,1.0
165,92,1.0
166,2825,1.0
166,2884,1.0
168,2825,1.0
170,2849,1.0
171,2837,1.0
172,2837,1.0
175,2886,1.0
177,2838,1.0
179,98,1.0
180,101,1.0
181,100,1.0
182,2890,1.0
183,2842,1.0
185,2845,1.0
186,2844,1.0
189,2846,1.0
191,2967,1.0
194,103,1.0
197,104,1.0
199,105,1.0
201,2851,1.0
202,2851,1.0
204,2850,1.0
207,106,1.0
208,2887,1.0
208,2834,1.0
208,2906,1.0
209,106,1.0
210,2905,1.0
212,107,1.0
213,108,1.0
214,2836,1.0
215,110,1.0
216,2857,1.0
217,2835,1.0
218,2857,1.0
219,2908,1.0
220,95,1.0
221,111,1.0
222,112,1.0
223,2985,1.0
224,2986,1.0
226,2860,1.0
227,2861,1.0
228,2862,1.0
228,2988,1.0
229,2861,1.0
230,113,1.0
230,2861,1.0
231,2863,1.0
232,2863,1.0
232,2864,1.0
233,2911,1.0
233,2912,1.0
234,114,1.0
234,2866,1.0
235,2912,1.0
236,2990,1.0
238,127,1.0
239,133,1.0
240,160,1.0
241,174,1.0
242,146,1.0
243,195,1.0
244,189,1.0
245,190,1.0
246,127,1.0
246,131,1.0
247,174,1.0
248,173,1.0
249,169,1.0
250,168,1.0
250,166,1.0
251,178,1.0
252,200,1.0
253,137,1.0
254,142,1.0
255,184,1.0
256,167,1.0
257,176,1.0
258,176,1.0
259,128,1.0
259,140,1.0
260,153,1.0
261,193,1.0
261,192,1.0
262,199,1.0
262,198,1.0
263,203,1.0
264,213,1.0
265,207,1.0
266,138,1.0
267,136,1.0
268,150,1.0
269,453,1.0
270,163,1.0
271,431,1.0
272,183,1.0
273,152,1.0
274,187,1.0
275,469,1.0
276,196,1.0
277,170,1.0
278,206,1.0
279,206,1.0
280,211,1.0
281,205,1.0
281,436,1.0
282,237,1.0
283,497,1.0
284,496,1.0
285,498,1.0
286,499,1.0
287,507,1.0
288,569,1.0
289,572,1.0
290,595,1.0
291,521,1.0
292,520,1.0
293,565,1.0
294,597,1.0
295,611,1.0
296,655,1.0
297,636,1.0
298,637,1.0
299,651,1.0
300,653,1.0
301,609,1.0
302,722,1.0
303,647,1.0
304,665,1.0
305,667,1.0
306,672,1.0
307,670,1.0
307,673,1.0
308,797,1.0
309,596,1.0
310,699,1.0
311,700,1.0
312,612,1.0
313,710,1.0
314,799,1.0
315,717,1.0
316,810,1.0
317,822,1.0
318,683,1.0
319,726,1.0
320,828,1.0
321,832,1.0
322,733,1.0
323,737,1.0
324,840,1.0
325,839,1.0
