node_idx,hit_id,particle_id,volume_id,layer_id,module_id,nhits
0,131,337775675769356288,7,2,12,15.0
0,170,337775675769356288,7,2,14,15.0
1,77468,81065549206913024,14,6,137,15.0
2,77472,571957358834483200,14,6,139,14.0
3,77473,702565458879971328,14,6,139,11.0
4,77474,9008642363752448,14,6,139,14.0
5,77475,873704649901735936,14,6,139,13.0
6,77479,788132133813092352,14,6,140,13.0
7,77480,301749077773647872,14,6,140,8.0
8,77482,81065549206913024,14,6,140,15.0
9,77483,252202953522282496,14,6,140,10.0
10,77486,571957358834483200,14,6,140,14.0
10,77493,571957358834483200,14,6,142,14.0
11,77491,873704649901735936,14,6,142,13.0
12,77502,9008711083229184,14,6,144,11.0
13,77506,252205221265014784,14,6,145,12.0
14,77507,337782066680692736,14,6,145,10.0
15,77510,4507379198590976,14,6,145,9.0
16,77518,833168473684180992,14,6,147,12.0
17,77531,121601313107607552,14,6,149,12.0
18,77536,508907170209726464,14,6,150,14.0
19,77541,49546605287702528,14,6,150,12.0
20,77542,508907170209726464,14,6,151,14.0
21,77546,121609765603246080,14,6,151,13.0
22,77547,378305804672958464,14,6,151,10.0
23,77548,680052545984397312,14,6,151,13.0
24,77549,905232664791875584,14,6,152,13.0
25,77550,121601313107607552,14,6,152,12.0
26,77553,0,14,6,153,0.0
27,77558,621501765098930176,14,6,154,11.0
28,77561,45058261384167424,14,6,155,12.0
29,77570,225181905513873408,14,6,156,12.0
30,77583,423341319910326272,14,6,160,10.0
31,77586,788130278387220480,14,6,160,10.0
32,77589,387310804904443904,14,6,161,11.0
33,77594,648530166091350016,14,6,162,13.0
34,77602,333271595105648640,14,6,163,11.0
35,77607,603490802563284992,14,6,164,12.0
36,77611,423356506914684928,14,6,165,11.0
37,77618,121609559444815872,14,6,166,15.0
38,77626,603490871282761728,14,6,167,10.0
39,77634,459370185648766976,14,6,168,13.0
40,77636,603500629448458240,14,6,169,13.0
41,77641,621509461680324608,14,6,169,11.0
42,77647,882712330192814080,14,8,1,13.0
43,77650,788131034301464576,14,8,1,13.0
44,77663,729592691641286656,14,8,3,10.0
45,77664,423356438195208192,14,8,3,11.0
46,77667,450360924809723904,14,8,4,12.0
47,77672,495403999189532672,14,8,5,12.0
48,77674,882715560008220672,14,8,5,13.0
49,77677,378303055893889024,14,8,6,11.0
50,77680,855690251392253952,14,8,7,10.0
51,77690,216173263150120960,14,8,9,11.0
52,77691,450362642796642304,14,8,9,12.0
53,77694,729585613535182848,14,8,9,12.0
54,77701,67554475446894592,14,8,11,14.0
55,77705,729592004463316994,14,8,12,4.0
56,77708,594483534589067264,14,8,12,13.0
57,77711,459368467661848576,14,8,13,9.0
58,77713,801650766715551744,14,8,13,11.0
59,77719,729591935727042560,14,8,15,11.0
60,77720,292734594254372864,14,8,15,14.0
61,77723,729592004463316994,14,8,15,4.0
62,77724,63052318928535552,14,8,15,11.0
63,77728,594483534589067264,14,8,15,13.0
64,77737,4512533159346176,14,8,16,13.0
65,77753,612496008953200640,14,8,18,16.0
66,77757,243194654755913728,14,8,19,12.0
67,77764,648530303530303488,14,8,20,11.0
68,77765,301750039846322176,14,8,21,14.0
69,77767,594480510932090880,14,8,21,13.0
70,77770,576463569801969664,14,8,21,14.0
71,77771,387314103439327232,14,8,21,13.0
72,77772,598979437635043328,14,8,21,12.0
73,77773,887210294823092224,14,8,21,11.0
74,77776,292738373825593344,14,8,21,13.0
75,77780,594476112885579776,14,8,22,14.0
76,77782,423344274847825920,14,8,23,14.0
77,77786,720583293363290112,14,8,24,12.0
78,77790,576463569801969664,14,8,24,14.0
79,77792,0,14,8,24,0.0
80,77794,243194723475390464,14,8,24,14.0
81,77796,612490992431398912,14,8,25,12.0
82,77816,292734456815419392,14,8,31,13.0
83,77817,4504767858475008,14,8,31,14.0
84,77824,4512189561962496,14,8,32,12.0
85,77825,607995914019143680,14,8,32,14.0
86,77827,193660075376640000,14,8,32,10.0
87,77830,243199327680331776,14,8,32,11.0
88,77833,292734456815419392,14,8,33,13.0
89,77847,522425459514802176,14,8,35,12.0
90,77850,337774507538251776,14,8,35,12.0
91,77851,193679110671695872,14,8,35,6.0
92,77852,243199327680331776,14,8,35,11.0
93,77853,193659044584488960,14,8,35,13.0
94,77860,4512601878822912,14,8,36,13.0
95,77863,4512120842485760,14,8,37,15.0
96,77866,648523637741060096,14,8,37,12.0
97,77869,423352040148697088,14,8,38,10.0
98,77874,9013452727123968,14,8,39,10.0
99,77878,594477349836161024,14,8,40,13.0
100,77881,648523569021583360,14,8,40,15.0
101,77882,801645337876889600,14,8,40,13.0
102,77886,607986362011877376,14,8,41,11.0
103,77888,648523569021583360,14,8,41,15.0
104,77891,833168886001041408,14,8,42,11.0
105,77892,193665779093209088,14,8,42,12.0
106,77895,423361248558579712,14,8,42,14.0
107,77901,594477349836161024,14,8,43,13.0
108,77902,193665916532162560,14,8,43,12.0
109,77903,423344755884163072,14,8,43,15.0
110,77905,801645337876889600,14,8,43,13.0
111,77906,882722088358510592,14,8,43,14.0
112,77908,45040050722832384,14,8,43,16.0
113,77912,423351902709743616,14,8,44,11.0
114,77915,4512052123009024,14,8,44,11.0
115,77918,387314240878280704,14,8,46,15.0
116,78364,608005672184840192,14,8,120,8.0
117,78367,436850332086042624,14,8,120,11.0
118,78368,801650972873981952,14,8,120,13.0
119,77931,0,14,8,47,0.0
120,77936,256712806622035968,14,8,47,12.0
121,77938,819655407059337216,14,8,48,12.0
122,77940,256724076616220672,14,8,48,8.0
123,77942,297238881076510720,14,8,49,12.0
124,77945,0,14,8,49,0.0
125,77951,193679797866463232,14,8,49,11.0
126,77953,833173696364412928,14,8,50,11.0
127,77955,45040256881262592,14,8,50,10.0
128,77957,184652120207654912,14,8,50,13.0
129,77961,860189246814683136,14,8,51,14.0
130,77965,243196372742832128,14,8,52,14.0
131,77973,860189246814683136,14,8,54,14.0
132,77975,256726275639476224,14,8,54,12.0
133,77976,716077563432140800,14,8,54,13.0
134,77977,243196372742832128,14,8,54,14.0
135,77979,594477281116684288,14,8,55,14.0
136,77987,855689014441672704,14,8,56,12.0
137,77988,603502965910667264,14,8,56,7.0
138,77993,247698597980667904,14,8,57,14.0
