24715 33311
node2,node1,weight
0,9745,1.0
0,9747,1.0
0,9746,1.0
0,10031,1.0
5,9759,1.0
5,10042,1.0
6,10051,1.0
6,10050,1.0
7,9766,1.0
7,9765,1.0
7,10052,1.0
13,9774,1.0
13,10061,1.0
15,9773,1.0
15,9780,1.0
16,9779,1.0
16,9778,1.0
16,10068,1.0
20,9785,1.0
20,9789,1.0
20,10078,1.0
24,9799,1.0
24,9800,1.0
24,10087,1.0
24,10086,1.0
26,9804,1.0
26,9803,1.0
26,10091,1.0
28,9811,1.0
28,10099,1.0
29,9807,1.0
29,10095,1.0
33,9815,1.0
34,9819,1.0
34,9818,1.0
35,9814,1.0
35,10102,1.0
36,9824,1.0
36,9827,1.0
37,9838,1.0
37,10200,1.0
38,9835,1.0
38,10116,1.0
38,10110,1.0
39,9825,1.0
40,9843,1.0
40,10122,1.0
51,9857,1.0
53,9793,1.0
53,10128,1.0
53,10137,1.0
55,9860,1.0
55,10139,1.0
61,9876,1.0
61,10155,1.0
62,9875,1.0
62,9877,1.0
65,9885,1.0
69,9893,1.0
72,9828,1.0
72,10191,1.0
73,9910,1.0
73,9829,1.0
73,10193,1.0
74,9908,1.0
79,9917,1.0
82,9831,1.0
83,9924,1.0
83,9925,1.0
88,9933,1.0
88,10214,1.0
89,9932,1.0
90,9932,1.0
91,9946,1.0
92,9936,1.0
92,9934,1.0
96,9955,1.0
96,9849,1.0
96,10237,1.0
96,10236,1.0
96,10238,1.0
97,9955,1.0
97,9849,1.0
97,10237,1.0
97,10236,1.0
100,9850,1.0
100,9961,1.0
100,10244,1.0
100,10235,1.0
115,9978,1.0
115,9989,1.0
115,9977,1.0
115,10266,1.0
115,10280,1.0
115,10268,1.0
115,10278,1.0
116,9981,1.0
116,9979,1.0
117,9995,1.0
118,9992,1.0
119,9988,1.0
119,9993,1.0
119,10277,1.0
119,10284,1.0
126,10299,1.0
128,10006,1.0
128,10012,1.0
129,10007,1.0
129,10013,1.0
129,10303,1.0
129,10310,1.0
130,10020,1.0
130,10019,1.0
132,10020,1.0
132,10019,1.0
133,0,1.0
134,10330,1.0
135,12,1.0
136,10336,1.0
136,10339,1.0
137,4,1.0
138,3,1.0
140,9,1.0
141,1,1.0
142,2,1.0
143,10340,1.0
144,5,1.0
145,14,1.0
146,11,1.0
147,17,1.0
148,13,1.0
149,16,1.0
150,18,1.0
151,39,1.0
152,26,1.0
153,8,1.0
154,10346,1.0
155,19,1.0
156,10,1.0
157,20,1.0
158,10374,1.0
159,22,1.0
161,10383,1.0
161,10381,1.0
161,10384,1.0
161,10382,1.0
162,21,1.0
163,23,1.0
164,10385,1.0
165,25,1.0
167,27,1.0
168,29,1.0
170,31,1.0
172,10450,1.0
173,30,1.0
174,10402,1.0
175,34,1.0
176,35,1.0
177,10416,1.0
178,37,1.0
179,10491,1.0
180,43,1.0
181,69,1.0
182,10469,1.0
183,10471,1.0
184,38,1.0
185,41,1.0
186,42,1.0
188,44,1.0
189,46,1.0
190,54,1.0
191,10432,1.0
191,10431,1.0
191,50,1.0
192,53,1.0
193,10432,1.0
193,10431,1.0
193,52,1.0
194,51,1.0
195,47,1.0
195,45,1.0
196,59,1.0
197,58,1.0
198,57,1.0
199,60,1.0
200,124,1.0
201,10444,1.0
202,55,1.0
203,56,1.0
204,10449,1.0
205,10446,1.0
206,63,1.0
207,127,1.0
209,10452,1.0
210,10453,1.0
210,10448,1.0
211,61,1.0
212,10459,1.0
214,64,1.0
215,10465,1.0
216,67,1.0
217,66,1.0
218,68,1.0
219,10465,1.0
219,10464,1.0
221,70,1.0
222,10475,1.0
222,10476,1.0
223,32,1.0
224,10479,1.0
225,72,1.0
226,10482,1.0
227,77,1.0
228,80,1.0
228,75,1.0
229,71,1.0
229,78,1.0
230,76,1.0
231,10487,1.0
232,80,1.0
232,75,1.0
233,76,1.0
234,10421,1.0
234,82,1.0
235,83,1.0
236,81,1.0
236,84,1.0
238,86,1.0
239,85,1.0
239,87,1.0
240,88,1.0
241,89,1.0
241,90,1.0
242,91,1.0
243,92,1.0
244,94,1.0
245,98,1.0
246,93,1.0
247,99,1.0
248,95,1.0
249,96,1.0
250,10511,1.0
250,10515,1.0
251,10522,1.0
252,100,1.0
253,10532,1.0
253,10524,1.0
253,10528,1.0
254,94,1.0
255,104,1.0
256,101,1.0
257,48,1.0
258,10531,1.0
259,10532,1.0
259,10524,1.0
259,10528,1.0
260,10530,1.0
261,107,1.0
262,103,1.0
263,109,1.0
264,106,1.0
265,105,1.0
266,10538,1.0
267,10541,1.0
268,10538,1.0
269,112,1.0
270,102,1.0
271,113,1.0
272,108,1.0
274,10548,1.0
275,111,1.0
276,10547,1.0
276,110,1.0
277,10546,1.0
278,49,1.0
279,115,1.0
280,118,1.0
281,119,1.0
282,117,1.0
283,125,1.0
284,114,1.0
285,121,1.0
286,120,1.0
287,122,1.0
288,123,1.0
289,125,1.0
290,126,1.0
292,129,1.0
293,128,1.0
294,131,1.0
295,130,1.0
296,132,1.0
297,10579,1.0
298,133,1.0
299,134,1.0
301,139,1.0
302,138,1.0
303,140,1.0
304,142,1.0
306,136,1.0
307,143,1.0
308,144,1.0
309,141,1.0
